doi,url,label_level_1,label_level_2,label_level_3,title,abstract,journal,full_doc_link,is_open_access,isBiomimicry
,http://dx.doi.org/10.1038/nature02403,"['Get, Store, or Distribute Resources', 'Make', 'Modify']","['Capture, Absorb, or Filter Resources', 'Physically Assemble', 'Adapt/Optimize']","['Capture, Absorb, or Filter Energy', 'Physically Assemble Structure', 'Optimize Shape/Materials']",,,,,,Y
,http://resource.wur.nl/en/wetenschap/detail/tough_leaves_live_longer,"['Get, Store, or Distribute Resources', 'Make', 'Modify']","['Capture, Absorb, or Filter Resources', 'Physically Assemble', 'Adapt/Optimize']","['Capture, Absorb, or Filter Energy', 'Physically Assemble Structure', 'Optimize Shape/Materials']",,,,,,Y
,http://onlinelibrary.wiley.com/doi/10.1111/j.1748-7692.1998.tb00716.x/abstract,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources', 'Distribute Resources']","['Capture, Absorb, or Filter Solids', 'Distribute Solids']",,,,,,Y
,http://onlinelibrary.wiley.com/doi/10.1111/j.1748-7692.1998.tb00717.x/full,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources', 'Distribute Resources']","['Capture, Absorb, or Filter Solids', 'Distribute Solids']",,,,,,Y
,http://dx.doi.org/10.1126/science.1177894,"['Get, Store, or Distribute Resources', 'Modify', 'Process Information']","['Capture, Absorb, or Filter Resources', 'Modify Physical State', 'Navigate', 'Process Signals']","['Capture, Absorb, or Filter Organisms', 'Modify Size/Shape/Mass/Volume', 'Modify Position', 'Navigate Over Land', 'Respond to Signals']",,,,,,Y
,http://www.ncbi.nlm.nih.gov/pubmed/11763236,"['Get, Store, or Distribute Resources', 'Modify', 'Process Information']","['Capture, Absorb, or Filter Resources', 'Modify Physical State', 'Navigate', 'Process Signals']","['Capture, Absorb, or Filter Organisms', 'Modify Size/Shape/Mass/Volume', 'Modify Position', 'Navigate Over Land', 'Respond to Signals']",,,,,,Y
,http://www.amazon.com/Biology-Freshwater-Wetlands-Habitats/dp/0199608954%3FSubscriptionId%3DAKIAIMGIS4T74NLNJI3Q%26tag%3Dasknature03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0199608954,"['Get, Store, or Distribute Resources', 'Modify']","['Capture, Absorb, or Filter Resources', 'Store Resources', 'Adapt/Optimize']","['Capture, Absorb, or Filter Gases', 'Store Gases', 'Adapt Phenotype']",,,,,,Y
,http://dx.doi.org/10.1242/jeb.036871,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources']","['Capture, Absorb, or Filter Liquids']",,,,,,Y
,http://dx.doi.org/10.1210/en.2003-0418,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources']","['Capture, Absorb, or Filter Liquids']",,,,,,Y
,http://www.amazon.com/Private-Life-Plants-David-Attenborough/dp/0691006393%3FSubscriptionId%3DAKIAIMGIS4T74NLNJI3Q%26tag%3Dasknature03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0691006393,"['Get, Store, or Distribute Resources', 'Modify']","['Capture, Absorb, or Filter Resources', 'Adapt/Optimize']","['Capture, Absorb, or Filter Energy', 'Adapt Behaviors']",,,,,,Y
,http://www.amazon.com/Private-Life-Plants-David-Attenborough/dp/0691006393%3FSubscriptionId%3DAKIAIMGIS4T74NLNJI3Q%26tag%3Dasknature03-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0691006393,['Maintain Community'],['Provide Ecosystem Services'],['Manage Disturbance in a Community'],,,,,,Y
